station_id,station_name,lat,lon
2,San Jose Diridon Caltrain Station,37.776756,-122.395355
32,Castro Street and El Camino Real,37.386013,-122.083839
40,Laguna St at McAllister St,37.779462,-122.426833
45,Commercial at Montgomery,37.794384,-122.403109
48,Embarcadero at Vallejo,37.793741,-122.396099
57,5th at Howard,37.781644,-122.40422
65,Townsend at 7th,37.772034,-122.401587
67,Market at 10th,37.776726,-122.41744
68,Yerba Buena Center of the Arts (3rd @ Howard),37.784986,-122.401015
69,San Francisco Caltrain 2 (330 Townsend),37.7769,-122.394907
82,Broadway St at Battery St,37.798786,-122.401095
83,Mezes Park,37.491729,-122.23633
184,Franklin St at 14th St,37.804004,-122.269954
185,Jackson St at 14th St,37.802158,-122.265243
199,Webster St at 17th St,37.805943,-122.267364
272,Woolsey St at Sacramento St,37.850864,-122.27832
293,W St John St at Guadalupe River Trail,37.334954,-121.89902
302,Tamien Station,37.312837,-121.884738
342,Colin P Kelly Jr St at Townsend St (Temporary Site),37.78149,-122.389768
344,16th St Depot,37.767489,-122.390841
